id,playtime_forever,is_free,price,tags,total_positive_reviews,total_negative_reviews,"('genres', 'Action')","('genres', 'Adventure')","('genres', 'Animation & Modeling')","('genres', 'Audio Production')","('genres', 'Casual')","('genres', 'Design & Illustration')","('genres', 'Early Access')","('genres', 'Free to Play')","('genres', 'Gore')","('genres', 'Indie')","('genres', 'Massively Multiplayer')","('genres', 'Nudity')","('genres', 'RPG')","('genres', 'Racing')","('genres', 'Sexual Content')","('genres', 'Simulation')","('genres', 'Sports')","('genres', 'Strategy')","('genres', 'Utilities')","('genres', 'Violent')","('categories', 'Captions available')","('categories', 'Co-op')","('categories', 'Commentary available')","('categories', 'Cross-Platform Multiplayer')","('categories', 'Full controller support')","('categories', 'In-App Purchases')","('categories', 'Includes Source SDK')","('categories', 'Includes level editor')","('categories', 'Local Co-op')","('categories', 'Local Multi-Player')","('categories', 'MMO')","('categories', 'Multi-player')","('categories', 'Online Co-op')","('categories', 'Online Multi-Player')","('categories', 'Partial Controller Support')","('categories', 'Remote Play on Phone')","('categories', 'Remote Play on TV')","('categories', 'Remote Play on Tablet')","('categories', 'Shared/Split Screen')","('categories', 'Single-player')","('categories', 'Stats')","('categories', 'Steam Achievements')","('categories', 'Steam Cloud')","('categories', 'Steam Leaderboards')","('categories', 'Steam Trading Cards')","('categories', 'Steam Workshop')","('categories', 'SteamVR Collectibles')","('categories', 'VR Support')","('categories', 'Valve Anti-Cheat enabled')",day_btn_purchase_release,day_btn_2020_purchase
0,0.0,0,0.12333333333333334,0.0,0.00372,0.00096,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.333,0.274
1,0.016666666666666666,1,0.0,0.0,0.00023,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0944,0.5655
2,0.0,0,0.16666666666666666,0.5,0.03018,0.00663,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0.3232,0.274
3,1.5333333333333334,0,0.33,0.25,0.63078,0.01746,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0.4868,0.5645
4,22.33333333333333,0,0.16,0.5,0.08841,0.00523,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0.4086,0.334
6,2.6166666666666667,0,0.12,0.25,0.39776,0.01035,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.3884,0.342
7,0.15,1,0.0,0.0,0.00033,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1282,0.351
8,0.016666666666666666,0,0.13333333333333333,0.0,0.01875,0.00039,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.3464,0.202
9,0.016666666666666666,0,0.29333333333333333,0.0,0.00047,0.00011,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0.0132,0.37
10,0.0,0,0.22666666666666666,1.0,0.05893,0.007,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.5372,0.3505
